State,District,State_Ab,Dist_Ab,Nov,Dec,Jan,Feb,Mar,Apr,Total,
Alaska,Alaska,AK,AK,9,6,2,14,21,13,65,
Alabama,Alabama (Middle),AL,AL-M,14,9,37,23,25,28,136,
Alabama,Alabama (Northern),AL,AL-N,6,33,27,16,34,31,147,
Alabama,Alabama (Southern),AL,AL-S,6,12,3,9,14,5,49,
Arkanas,Arkanas (Eastern),AR,AR-E,5,13,10,8,53,26,115,
Arkanas,Arkanas (Western),AR,AR-W,12,11,24,13,15,23,98,
Arizona,Arizona,AZ,AZ,111,150,111,127,159,147,805,
California,California (Central),CA,CA-C,409,815,289,12,486,6,2017,
California,California (Eastern),CA,CA-E,106,85,94,1,198,5,489,
California,California (Northern),CA,CA-N,159,193,172,6,266,11,807,
California,California (Southern),CA,CA-S,38,54,39,3,93,0,227,
Colorado,Colorado,CO,CO,100,148,142,89,141,136,756,
Connecticut,Connecticut,CT,CT,97,46,44,100,178,75,540,
District of Columbia,District of Columbia,DC,DC,94,100,35,46,40,33,348,
Delaware,Delaware,DE,DE,16,17,9,13,18,6,79,
Florida,Florida (Middle),FL,FL-M,0,1,1,0,0,0,2,
Florida,Florida (Northern),FL,FL-N,25,41,18,44,25,21,174,
Florida,Florida (Southern),FL,FL-S,17,24,16,17,29,20,123,
Georgia,Georgia (Middle),GA,GA-M,13,20,11,3,9,11,67,
Georgia,Georgia (Southern),GA,GA-N,,,,,,,0,
Georgia,Georgia (Southern),GA,GA-S,10,7,6,20,10,6,59,
Guam,Guam,GU,GU,8,15,12,18,17,9,79,
Hawaii,Hawaii,HI,HI,33,34,17,6,29,28,147,
Iowa,Iowa (Northern),IA,IA-N,27,21,32,39,66,50,235,
Iowa,Iowa (Southern),IA,IA-S,42,49,60,101,70,69,391,
Idaho,Idaho,ID,ID,24,18,12,20,15,21,110,
Illinois,Illinois,IL,IL-C,31,33,37,31,182,44,358,
Illinois,Illinois,IL,IL-N,1,5,13,3,5,7,34,
Illinois,Illinois,IL,IL-S,11,11,7,28,14,13,84,
Indiana,Indiana (Northern),IN,IN-N,26,47,41,51,54,53,272,
Indiana,Indiana (Southern),IN,IN-S,149,76,71,103,113,123,635,
